name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
You'll Never Know,"Onur Karasu is a successful intelligence agent who was promoted to head of the department at a young age and has been after Civan Koral, the owner of Turkey's largest jewelry company. Onur, who thinks that Civan keeps the documents related to his illegal business in the safe in his house, becomes lovers with Civan's sister Hilal  in order to get in and out of the house. When he learns that Civan will move abroad, Onur makes a sudden decision to propose to Hilal in order to get the documents without letting her get away. He plans to open the safe on their engagement day and arrest Civan, who is there for his sister's engagement. What he doesn't take into account is Hilal's close friend Ece. While Ece is trying to figure out what Onur is up to, her plans are upset when Onur catches her. Onur and Ece, two poles as opposite as day and night, will have to work together in a way they never wanted to.",49933,https://image.tmdb.org/t/p/w500/irINWF0Y3iCA6ib4OrDrY94YEUy.jpg,10.0,4,False,[],[],['Aytaç Çiçek'],[],2023,Drama Comedy Soap,"['Onur', 'Karasu', 'successful', 'intelligence', 'agent', 'promoted', 'head', 'department', 'young', 'age', 'Civan', 'Koral', 'owner', 'Turkey', 'largest', 'jewelry', 'company', 'Onur', 'thinks', 'Civan', 'keeps', 'documents', 'related', 'illegal', 'business', 'safe', 'house', 'lovers', 'Civan', 'sister', 'Hilal', 'order', 'house', 'learns', 'Civan', 'abroad', 'Onur', 'makes', 'sudden', 'decision', 'propose', 'Hilal', 'order', 'documents', 'letting', 'away', 'plans', 'open', 'safe', 'engagement', 'day', 'arrest', 'Civan', 'sister', 'engagement', 'account', 'Hilal', 'close', 'friend', 'Ece', 'Ece', 'trying', 'figure', 'Onur', 'plans', 'upset', 'Onur', 'catches', 'Onur', 'Ece', 'poles', 'opposite', 'day', 'night', 'work', 'way', 'wanted']",Drama Comedy Soap  Onur Karasu successful intelligence agent promoted head department young age Civan Koral owner Turkey largest jewelry company Onur thinks Civan keeps documents related illegal business safe house lovers Civan sister Hilal order house learns Civan abroad Onur makes sudden decision propose Hilal order documents letting away plans open safe engagement day arrest Civan sister engagement account Hilal close friend Ece Ece trying figure Onur plans upset Onur catches Onur Ece poles opposite day night work way wanted 10.0  Aytaç Çiçek  ,,
Her Fall Doesn't Cry,"Alize, who lost her mother the day she was born, is a beautiful but very selfish young girl who was spoiled and raised by her father. Alize, who goes crazy when she learns that her father is getting remarried, decides to fake a marriage with a man he would never allow her to marry in order to take revenge. However, things will not go as planned",228980,https://image.tmdb.org/t/p/w500/4g8yQuwONS9o9uyjBbvHNQzoWqM.jpg,10.0,3,False,[],[],['Ayşegül Çiçekoğlu'],[],2023,Family Comedy Drama,"['Alize', 'lost', 'mother', 'day', 'born', 'beautiful', 'selfish', 'young', 'girl', 'spoiled', 'raised', 'father', 'Alize', 'goes', 'crazy', 'learns', 'father', 'getting', 'remarried', 'decides', 'fake', 'marriage', 'man', 'allow', 'marry', 'order', 'revenge', 'things', 'planned']",Family Comedy Drama  Alize lost mother day born beautiful selfish young girl spoiled raised father Alize goes crazy learns father getting remarried decides fake marriage man allow marry order revenge things planned 10.0  Ayşegül Çiçekoğlu  ,,
Such Brave Girls,"Sisters Josie and Billie and their single mother Deb navigate life armed with nothing but poor judgement and self-esteem exclusively tied to people who couldn't care less about them. They're vain, selfish, heavily in debt, pathologically desperate for affection and bursting with misplaced, terrifying love.",239614,https://image.tmdb.org/t/p/w500/boZk83A1vhP5ZRnSYwBQcPYk3WU.jpg,10.0,2,False,[],[],['Kat Sadler'],[],2023,Comedy,"['Sisters', 'Josie', 'Billie', 'single', 'mother', 'Deb', 'navigate', 'life', 'armed', 'poor', 'judgement', 'self', 'esteem', 'exclusively', 'tied', 'people', 'care', 'vain', 'selfish', 'heavily', 'debt', 'pathologically', 'desperate', 'affection', 'bursting', 'misplaced', 'terrifying', 'love']",Comedy  Sisters Josie Billie single mother Deb navigate life armed poor judgement self esteem exclusively tied people care vain selfish heavily debt pathologically desperate affection bursting misplaced terrifying love 10.0  Kat Sadler  ,,
The Rain in España,"Based on a hit Wattpad novel with more than 130 million reads. Luna and Kalix were still students, when their budding romance was cut short. Years after, fate finds a way for them to work together on a special project.",213738,https://image.tmdb.org/t/p/w500/pSsE9JTXtk1injjffpWlIqxMIaX.jpg,10.0,2,False,[],[],[],[],2023,Drama Comedy,"['Based', 'hit', 'Wattpad', 'novel', 'million', 'reads', 'Luna', 'Kalix', 'students', 'budding', 'romance', 'cut', 'short', 'Years', 'fate', 'finds', 'way', 'work', 'special', 'project']",Drama Comedy  Based hit Wattpad novel million reads Luna Kalix students budding romance cut short Years fate finds way work special project 10.0    ,,
"Soko Magattara, Sakurazaka","Soko Magattara, Sakurazaka? is a Japanese late night variety show starring Japanese idol group Sakurazaka46. It is hosted by Yū Sawabe and Teruyuki Tsuchida and airs every Sunday at 12:35 AM JST on TV Tokyo. It is the direct continuation of Keyakitte, Kakenai?, which had the same cast, format, and time slot, but named after the former name of Sakurazaka46, Keyakizaka46.",111842,https://image.tmdb.org/t/p/w500/gGx1t1FUAjXXYU8uomM9zNRZLfc.jpg,10.0,1,False,[],[],['Yasushi Akimoto'],[],2020,Talk Comedy,"['Soko', 'Magattara', 'Sakurazaka', 'Japanese', 'late', 'night', 'variety', 'starring', 'Japanese', 'idol', 'group', 'hosted', 'Yū', 'Sawabe', 'Teruyuki', 'Tsuchida', 'airs', 'Sunday', 'JST', 'TV', 'Tokyo', 'direct', 'continuation', 'Keyakitte', 'Kakenai', 'cast', 'format', 'time', 'slot', 'named']",Talk Comedy  Soko Magattara Sakurazaka Japanese late night variety starring Japanese idol group hosted Yū Sawabe Teruyuki Tsuchida airs Sunday JST TV Tokyo direct continuation Keyakitte Kakenai cast format time slot named 10.0  Yasushi Akimoto  ,,
PriPara,"Laala Manaka is a 5th-grader at Paprika Academy. Like most girls, she admires the world of PriPara, a sport that tests idol girls on song, dance, and fashion. Unfortunately for her, her school does not allow elementary school students to participate in PriPara. However, through miraculous circumstances, Laala passes the audition to become a PriPara idol.",67627,https://image.tmdb.org/t/p/w500/kLIVCmuCw1nMpULikGOmQml1lPQ.jpg,10.0,3,False,[],[],[],[],2014,Animation Comedy,"['Laala', 'Manaka', 'grader', 'Paprika', 'Academy', 'Like', 'girls', 'admires', 'world', 'PriPara', 'sport', 'tests', 'idol', 'girls', 'song', 'dance', 'fashion', 'Unfortunately', 'school', 'allow', 'elementary', 'school', 'students', 'participate', 'PriPara', 'miraculous', 'circumstances', 'Laala', 'passes', 'audition', 'PriPara', 'idol']",Animation Comedy  Laala Manaka grader Paprika Academy Like girls admires world PriPara sport tests idol girls song dance fashion Unfortunately school allow elementary school students participate PriPara miraculous circumstances Laala passes audition PriPara idol 10.0    ,,
Unscripted,"Unscripted is an American comedy-drama series that aired on HBO in early 2005. Its title referred to the fact that the series was largely improvised by its performers. The series was executive produced by Steven Soderbergh, George Clooney, and Grant Heslov.",15025,https://image.tmdb.org/t/p/w500/7Pl4nmauF6M9lbH3cssYMUQsToC.jpg,10.0,1,False,[],[],[],[],2005,Drama Comedy,"['Unscripted', 'American', 'comedy', 'drama', 'series', 'aired', 'HBO', 'early', 'title', 'referred', 'fact', 'series', 'largely', 'improvised', 'performers', 'series', 'executive', 'produced', 'Steven', 'Soderbergh', 'George', 'Clooney', 'Grant', 'Heslov']",Drama Comedy  Unscripted American comedy drama series aired HBO early title referred fact series largely improvised performers series executive produced Steven Soderbergh George Clooney Grant Heslov 10.0    ,,
Potato Star 2013QR3,"A mysterious asteroid crash-lands on Earth in 2013 and causes all sorts of weird things to start happening, specifically to the Noh family and their neighbors.",64770,https://image.tmdb.org/t/p/w500/8HLs1vyor0iHcKKHosrtxWfG8LL.jpg,10.0,1,False,[],[],[],[],2013,Comedy Drama Family Unknown Sci-Fi & Fantasy,"['mysterious', 'asteroid', 'crash', 'lands', 'Earth', 'causes', 'sorts', 'weird', 'things', 'start', 'happening', 'specifically', 'Noh', 'family', 'neighbors']",Comedy Drama Family Unknown Sci-Fi & Fantasy  mysterious asteroid crash lands Earth causes sorts weird things start happening specifically Noh family neighbors 10.0    ,,
Cuts,"Cuts is an American sitcom that aired on the UPN network from February 14, 2005, to May 11, 2006, and is a spin-off of another UPN series, One on One. The show was canceled along with many other shows when the UPN and WB networks merged to form The CW.",466,https://image.tmdb.org/t/p/w500/aJqQilpHvJy8CQFsJbpkdBeqA27.jpg,10.0,5,False,[],[],[],[],2005,Comedy,"['Cuts', 'American', 'sitcom', 'aired', 'UPN', 'network', 'February', 'spin', 'UPN', 'series', 'canceled', 'shows', 'UPN', 'WB', 'networks', 'merged', 'form', 'CW']",Comedy  Cuts American sitcom aired UPN network February spin UPN series canceled shows UPN WB networks merged form CW 10.0    ,,
Arashi ni Shiyagare,"Arashi ni Shiyagare (嵐にしやがれ) (Must Be ARASHI!) is an ongoing Japanese variety show on NTV starring the members of Arashi. The show began on 24 April 2010 and it airs from 10:00 to 10:54 p.m. (JST) every Saturday. It is Arashi's sixth and current variety show to be aired on NTV as well as their third show to be aired during primetime. There will be a male guest, which the members of Arashi addresses as 'Aniki' (Brother), who will teach Arashi different things. The other section, called 'Encounter the Unknown', is where Arashi will pick up new skills, such as interviewing celebrities, learning the tips to climb a mountain, from meeting experienced professionals they usually have not met before.",106410,https://image.tmdb.org/t/p/w500/iUvEfCYJR1KMNpqiqG9ALuHCOTn.jpg,10.0,1,False,[],[],[],[],2010,Comedy Family Talk Reality,"['Arashi', 'ni', 'Shiyagare', '嵐にしやがれ', 'ARASHI', 'ongoing', 'Japanese', 'variety', 'NTV', 'starring', 'members', 'Arashi', 'began', 'April', 'airs', 'JST', 'Saturday', 'Arashi', 'sixth', 'current', 'variety', 'aired', 'NTV', 'aired', 'primetime', 'male', 'guest', 'members', 'Arashi', 'addresses', 'Aniki', 'Brother', 'teach', 'Arashi', 'different', 'things', 'section', 'called', 'Encounter', 'Unknown', 'Arashi', 'pick', 'new', 'skills', 'interviewing', 'celebrities', 'learning', 'tips', 'climb', 'mountain', 'meeting', 'experienced', 'professionals', 'usually', 'met']",Comedy Family Talk Reality  Arashi ni Shiyagare 嵐にしやがれ ARASHI ongoing Japanese variety NTV starring members Arashi began April airs JST Saturday Arashi sixth current variety aired NTV aired primetime male guest members Arashi addresses Aniki Brother teach Arashi different things section called Encounter Unknown Arashi pick new skills interviewing celebrities learning tips climb mountain meeting experienced professionals usually met 10.0    ,,
