name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
Her Fall Doesn't Cry,"Alize, who lost her mother the day she was born, is a beautiful but very selfish young girl who was spoiled and raised by her father. Alize, who goes crazy when she learns that her father is getting remarried, decides to fake a marriage with a man he would never allow her to marry in order to take revenge. However, things will not go as planned",228980,https://image.tmdb.org/t/p/w500/4g8yQuwONS9o9uyjBbvHNQzoWqM.jpg,10.0,3,False,[],[],['Ayşegül Çiçekoğlu'],[],2023,Family Comedy Drama,"['Alize', 'lost', 'mother', 'day', 'born', 'beautiful', 'selfish', 'young', 'girl', 'spoiled', 'raised', 'father', 'Alize', 'goes', 'crazy', 'learns', 'father', 'getting', 'remarried', 'decides', 'fake', 'marriage', 'man', 'allow', 'marry', 'order', 'revenge', 'things', 'planned']",Family Comedy Drama  Alize lost mother day born beautiful selfish young girl spoiled raised father Alize goes crazy learns father getting remarried decides fake marriage man allow marry order revenge things planned 10.0  Ayşegül Çiçekoğlu  ,,
"Run, Jang Mi","Jang Mi is a woman with a warm personality which makes her kind to everyone. She is 26-years-old and a graduate student majoring in culinary arts. She was brought up in a wealthy family, but loses everything one day when her father passes away. Jang Mi's life changes completely after her father's death. While Jang-Mi struggles to make a living, she meets a man who is the grandson of a food company president and they become involved romantically.",62067,https://image.tmdb.org/t/p/w500/vfY7vjZSjWUSWsNeyShCrs5EYMF.jpg,10.0,1,False,[],[],"['Hong Chang-wook', 'Kim Yeong-in']",[],2014,Family,"['Jang', 'Mi', 'woman', 'warm', 'personality', 'makes', 'kind', 'years', 'old', 'graduate', 'student', 'majoring', 'culinary', 'arts', 'brought', 'wealthy', 'family', 'loses', 'day', 'father', 'passes', 'away', 'Jang', 'Mi', 'life', 'changes', 'completely', 'father', 'death', 'Jang', 'Mi', 'struggles', 'living', 'meets', 'man', 'grandson', 'food', 'company', 'president', 'involved', 'romantically']",Family  Jang Mi woman warm personality makes kind years old graduate student majoring culinary arts brought wealthy family loses day father passes away Jang Mi life changes completely father death Jang Mi struggles living meets man grandson food company president involved romantically 10.0  Hong Chang-wook Kim Yeong-in  ,,
Your Family or Mine,"Shani and her husband Shai visit her Sephardic family, then his Ashkenazi brood, for regular weekend meals that reveal both clans' quirks and foibles.",51096,https://image.tmdb.org/t/p/w500/46GM6l5O7RIJXIuUidV042RBBz4.jpg,10.0,2,False,[],[],"['Yaniv Polishuk', 'Ruby Duenyas']",[],2011,Comedy Family,"['Shani', 'husband', 'Shai', 'visit', 'Sephardic', 'family', 'Ashkenazi', 'brood', 'regular', 'weekend', 'meals', 'reveal', 'clans', 'quirks', 'foibles']",Comedy Family  Shani husband Shai visit Sephardic family Ashkenazi brood regular weekend meals reveal clans quirks foibles 10.0  Yaniv Polishuk Ruby Duenyas  ,,
Potato Star 2013QR3,"A mysterious asteroid crash-lands on Earth in 2013 and causes all sorts of weird things to start happening, specifically to the Noh family and their neighbors.",64770,https://image.tmdb.org/t/p/w500/8HLs1vyor0iHcKKHosrtxWfG8LL.jpg,10.0,1,False,[],[],[],[],2013,Comedy Drama Family Unknown Sci-Fi & Fantasy,"['mysterious', 'asteroid', 'crash', 'lands', 'Earth', 'causes', 'sorts', 'weird', 'things', 'start', 'happening', 'specifically', 'Noh', 'family', 'neighbors']",Comedy Drama Family Unknown Sci-Fi & Fantasy  mysterious asteroid crash lands Earth causes sorts weird things start happening specifically Noh family neighbors 10.0    ,,
Miotsukushi,"In the early Showa era, the town of Choshi in Chiba Prefecture was divided by the conflicts between the worlds of ""land"" and ""sea"". Born to Kyubei Bando, the owner of a long-established soy sauce brewery, and his mistress Rui, Kaworu was taken in by her father and raised as a prim and proper lady. As she grew up, she fell in love with Sokichi, the eldest son of an established fisherman; alas, their two families were in conflict. This is a story of pure love between two people that grew beyond the boundaries of the old customs that they were brought up with. It is a drama that depicts their turbulent journey of love and the bonds of the people from an old and established family working tirelessly to protect their naturally brewed soy sauce business through the ups and downs.",107261,https://image.tmdb.org/t/p/w500/iFhq7L6YI8BAWp7OsQznV0jOXPh.jpg,10.0,1,False,[],[],['James Miki'],[],1985,Drama Family,"['early', 'Showa', 'era', 'town', 'Choshi', 'Chiba', 'Prefecture', 'divided', 'conflicts', 'worlds', 'land', 'sea', 'Born', 'Kyubei', 'Bando', 'owner', 'long', 'established', 'soy', 'sauce', 'brewery', 'mistress', 'Rui', 'Kaworu', 'taken', 'father', 'raised', 'prim', 'proper', 'lady', 'grew', 'fell', 'love', 'Sokichi', 'eldest', 'son', 'established', 'fisherman', 'alas', 'families', 'conflict', 'story', 'pure', 'love', 'people', 'grew', 'boundaries', 'old', 'customs', 'brought', 'drama', 'depicts', 'turbulent', 'journey', 'love', 'bonds', 'people', 'old', 'established', 'family', 'working', 'tirelessly', 'protect', 'naturally', 'brewed', 'soy', 'sauce', 'business', 'ups', 'downs']",Drama Family  early Showa era town Choshi Chiba Prefecture divided conflicts worlds land sea Born Kyubei Bando owner long established soy sauce brewery mistress Rui Kaworu taken father raised prim proper lady grew fell love Sokichi eldest son established fisherman alas families conflict story pure love people grew boundaries old customs brought drama depicts turbulent journey love bonds people old established family working tirelessly protect naturally brewed soy sauce business ups downs 10.0  James Miki  ,,
Arashi ni Shiyagare,"Arashi ni Shiyagare (嵐にしやがれ) (Must Be ARASHI!) is an ongoing Japanese variety show on NTV starring the members of Arashi. The show began on 24 April 2010 and it airs from 10:00 to 10:54 p.m. (JST) every Saturday. It is Arashi's sixth and current variety show to be aired on NTV as well as their third show to be aired during primetime. There will be a male guest, which the members of Arashi addresses as 'Aniki' (Brother), who will teach Arashi different things. The other section, called 'Encounter the Unknown', is where Arashi will pick up new skills, such as interviewing celebrities, learning the tips to climb a mountain, from meeting experienced professionals they usually have not met before.",106410,https://image.tmdb.org/t/p/w500/iUvEfCYJR1KMNpqiqG9ALuHCOTn.jpg,10.0,1,False,[],[],[],[],2010,Comedy Family Talk Reality,"['Arashi', 'ni', 'Shiyagare', '嵐にしやがれ', 'ARASHI', 'ongoing', 'Japanese', 'variety', 'NTV', 'starring', 'members', 'Arashi', 'began', 'April', 'airs', 'JST', 'Saturday', 'Arashi', 'sixth', 'current', 'variety', 'aired', 'NTV', 'aired', 'primetime', 'male', 'guest', 'members', 'Arashi', 'addresses', 'Aniki', 'Brother', 'teach', 'Arashi', 'different', 'things', 'section', 'called', 'Encounter', 'Unknown', 'Arashi', 'pick', 'new', 'skills', 'interviewing', 'celebrities', 'learning', 'tips', 'climb', 'mountain', 'meeting', 'experienced', 'professionals', 'usually', 'met']",Comedy Family Talk Reality  Arashi ni Shiyagare 嵐にしやがれ ARASHI ongoing Japanese variety NTV starring members Arashi began April airs JST Saturday Arashi sixth current variety aired NTV aired primetime male guest members Arashi addresses Aniki Brother teach Arashi different things section called Encounter Unknown Arashi pick new skills interviewing celebrities learning tips climb mountain meeting experienced professionals usually met 10.0    ,,
Radio Disney Music Awards,"The Radio Disney Music Awards were an annual awards show operated and governed by Radio Disney, an American radio network. Beginning in 2001, the show was originally broadcast only on Radio Disney, but later began being televised on Disney Channel from 2013 onwards",66379,https://image.tmdb.org/t/p/w500/nq7jAkkF5j6YO3Zer590ivQlF0e.jpg,10.0,4,False,[],[],['Sterling Sulieman'],[],2013,Kids Family,"['Radio', 'Disney', 'Music', 'Awards', 'annual', 'awards', 'operated', 'governed', 'Radio', 'Disney', 'American', 'radio', 'network', 'Beginning', 'originally', 'broadcast', 'Radio', 'Disney', 'later', 'began', 'televised', 'Disney', 'Channel', 'onwards']",Kids Family  Radio Disney Music Awards annual awards operated governed Radio Disney American radio network Beginning originally broadcast Radio Disney later began televised Disney Channel onwards 10.0  Sterling Sulieman  ,,
Unpredictable Family,"A romantic family drama about a divorced couple who broke up 30 years ago out of hate, reuniting as in-laws through their children and overcoming long overdue conflicts and enmity.",230525,https://image.tmdb.org/t/p/w500/goMzJ6rxTndGki2pKpyAKuKNXHY.jpg,10.0,1,False,[],[],[],[],2023,Family Comedy,"['romantic', 'family', 'drama', 'divorced', 'couple', 'broke', 'years', 'ago', 'hate', 'reuniting', 'laws', 'children', 'overcoming', 'long', 'overdue', 'conflicts', 'enmity']",Family Comedy  romantic family drama divorced couple broke years ago hate reuniting laws children overcoming long overdue conflicts enmity 10.0    ,,
Balabol,"A happy-go-lucky detective confronts criminals and solves cases with fast-talking, hard-hitting style.",79468,https://image.tmdb.org/t/p/w500/QNWj4vbAkbmT0X65RZ1KkPzsmh.jpg,9.7,3,False,[],[],"['Vladimir Melnik', 'Andrey Shishov', 'Nikita Evgan']",[],2014,Mystery Crime Family,"['happy', 'lucky', 'detective', 'confronts', 'criminals', 'solves', 'cases', 'fast', 'talking', 'hard', 'hitting', 'style']",Mystery Crime Family  happy lucky detective confronts criminals solves cases fast talking hard hitting style 9.7  Vladimir Melnik Andrey Shishov Nikita Evgan  ,,
Stupid Wife,"Luíza and Valentina are law students and classmates, but from totally different worlds and personalities. Luiza sees in Valentina all the flaws she believes someone can have, and hates her. One day, however, Luiza wakes up to find herself ten years older and, to her horror, married to Valentina. It turns out that now, Luíza was the victim of a trauma, which she is still unaware of and which led her to a process of Dissociative Amnesia; not remembering her marriage to Valentina, much less her son Leo. In this process, she will need to rediscover herself, who she has become. At the same time, Valentina seeks to win back her wife.",210026,https://image.tmdb.org/t/p/w500/v3JT5euoYrdGU08UCpyp7FNxGUI.jpg,9.4,9,False,[],[],"['Priscilla Pugliese', 'Nathália Sodré', 'Fábio Brito', 'Natalie Smith']",[],2022,Family Drama,"['Luíza', 'Valentina', 'law', 'students', 'classmates', 'totally', 'different', 'worlds', 'personalities', 'Luiza', 'sees', 'Valentina', 'flaws', 'believes', 'hates', 'day', 'Luiza', 'wakes', 'find', 'years', 'older', 'horror', 'married', 'Valentina', 'turns', 'Luíza', 'victim', 'trauma', 'unaware', 'led', 'process', 'Dissociative', 'Amnesia', 'remembering', 'marriage', 'Valentina', 'son', 'Leo', 'process', 'need', 'rediscover', 'time', 'Valentina', 'seeks', 'win', 'wife']",Family Drama  Luíza Valentina law students classmates totally different worlds personalities Luiza sees Valentina flaws believes hates day Luiza wakes find years older horror married Valentina turns Luíza victim trauma unaware led process Dissociative Amnesia remembering marriage Valentina son Leo process need rediscover time Valentina seeks win wife 9.4  Priscilla Pugliese Nathália Sodré Fábio Brito Natalie Smith  ,,
