name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
The Sea Sun,"""Le Soleil De Mer"" is a fast-paced soap opera that blends romance, crime, and passion. With its thrilling three-episode-per-week release schedule, it offers an addictive mix of drama and suspense for viewers.",226924,https://image.tmdb.org/t/p/w500/19AEsm3cuC0ViRnCN2eButBOw4Z.jpg,10.0,1,False,[],[],['Mathis Duret'],[],2020,Soap Comedy Drama Mystery,"['Le', 'Soleil', 'De', 'Mer', 'fast', 'paced', 'soap', 'opera', 'blends', 'romance', 'crime', 'passion', 'thrilling', 'episode', 'week', 'release', 'schedule', 'offers', 'addictive', 'mix', 'drama', 'suspense', 'viewers']",Soap Comedy Drama Mystery  Le Soleil De Mer fast paced soap opera blends romance crime passion thrilling episode week release schedule offers addictive mix drama suspense viewers 10.0  Mathis Duret  ,,
Chase The Truth,"Five years ago, the ""Northwest Wolves"" crime syndicate was annihilated by the police, but the leader of the group, Gumulan, the backbone of the old gun and the undercover agents sent by the police, such as Lin Ke, all disappeared, and it is hard to know whether they are alive or dead. Five years later, the ""Northwest Wolf"" group resurfaced, police Chu Yihan in order to find his mother Lin Ke, took the initiative to become an undercover once again infiltrated into the crime syndicate, in the former deputy chief of the Criminal Investigation Department, the year of the Northwest Wolf case of the main executor of the support of Cheng Fan step by step in-depth the core of the crime syndicate.",239577,https://image.tmdb.org/t/p/w500/weHHbqI3uDotKE2Il0dDPDrITDk.jpg,10.0,2,False,[],[],['Junkai Zhao'],[],2023,Crime Drama Mystery,"['years', 'ago', 'Northwest', 'Wolves', 'crime', 'syndicate', 'annihilated', 'police', 'leader', 'group', 'Gumulan', 'backbone', 'old', 'gun', 'undercover', 'agents', 'sent', 'police', 'Lin', 'Ke', 'disappeared', 'hard', 'know', 'alive', 'dead', 'years', 'later', 'Northwest', 'Wolf', 'group', 'resurfaced', 'police', 'Chu', 'Yihan', 'order', 'find', 'mother', 'Lin', 'Ke', 'took', 'initiative', 'undercover', 'infiltrated', 'crime', 'syndicate', 'deputy', 'chief', 'Criminal', 'Investigation', 'Department', 'year', 'Northwest', 'Wolf', 'case', 'main', 'executor', 'support', 'Cheng', 'Fan', 'step', 'step', 'depth', 'core', 'crime', 'syndicate']",Crime Drama Mystery  years ago Northwest Wolves crime syndicate annihilated police leader group Gumulan backbone old gun undercover agents sent police Lin Ke disappeared hard know alive dead years later Northwest Wolf group resurfaced police Chu Yihan order find mother Lin Ke took initiative undercover infiltrated crime syndicate deputy chief Criminal Investigation Department year Northwest Wolf case main executor support Cheng Fan step step depth core crime syndicate 10.0  Junkai Zhao  ,,
USA High,"USA High is an American teen sitcom which ran from August 1997 to June 1999, and ended after 95 episodes, and reran until August 4, 2001 on the USA Network.",1792,https://image.tmdb.org/t/p/w500/it9TFva1WQIBZzMawgWYi92bBiK.jpg,10.0,4,False,[],[],['Peter Engel'],[],1997,Drama Mystery,"['USA', 'High', 'American', 'teen', 'sitcom', 'ran', 'August', 'June', 'ended', 'episodes', 'reran', 'August', 'USA', 'Network']",Drama Mystery  USA High American teen sitcom ran August June ended episodes reran August USA Network 10.0  Peter Engel  ,,
Playboyy,"When Zouey's best friend Nant goes missing his twin brother Nont comes to investigate. Zouey joins force with First to help Nont solve the case. Delving into Nant's past, the trio find themselves entering a dark communities of the sex industry, illegal pornography, online hook-ups with drug dealing, covert sex work and sex-love revenge exposing human's darkest nature. In the meantime, Zouey—who's afraid of sex—is seduced by his nude model Teena while First delves so deep into the ecstasy of sex when met with Soong, an ex-sex worker, that he might become sex-addicted.

Will they find the missing person? Or will they discover some hidden truth about themselves through this daunting journey?",231260,https://image.tmdb.org/t/p/w500/at246UapGh97fyp7JQMyaNAglrd.jpg,10.0,2,False,[],[],[],[],2023,Drama Mystery,"['Zouey', 'best', 'friend', 'Nant', 'goes', 'missing', 'twin', 'brother', 'Nont', 'comes', 'investigate', 'Zouey', 'joins', 'force', 'help', 'Nont', 'solve', 'case', 'Delving', 'Nant', 'past', 'trio', 'find', 'entering', 'dark', 'communities', 'sex', 'industry', 'illegal', 'pornography', 'online', 'hook', 'ups', 'drug', 'dealing', 'covert', 'sex', 'work', 'sex', 'love', 'revenge', 'exposing', 'human', 'darkest', 'nature', 'meantime', 'Zouey', 'afraid', 'sex', 'seduced', 'nude', 'model', 'Teena', 'delves', 'deep', 'ecstasy', 'sex', 'met', 'Soong', 'ex', 'sex', 'worker', 'sex', 'addicted', 'find', 'missing', 'person', 'discover', 'hidden', 'truth', 'daunting', 'journey']",Drama Mystery  Zouey best friend Nant goes missing twin brother Nont comes investigate Zouey joins force help Nont solve case Delving Nant past trio find entering dark communities sex industry illegal pornography online hook ups drug dealing covert sex work sex love revenge exposing human darkest nature meantime Zouey afraid sex seduced nude model Teena delves deep ecstasy sex met Soong ex sex worker sex addicted find missing person discover hidden truth daunting journey 10.0    ,,
Flying Tiger III,"The terrorist organization ""Waganbu"" infiltrated Hong Kong and set off a battle for chemical weapons in Hong Kong. Fan Shaofeng, the commander of the Flying Tigers, was ordered to fight against the terrorists. The Flying Tigers are trapped in the ruthless killing of Wagambu, the Special Service Superintendent Zhan Bowen convenes the police elites Zhang Weihua, Zhang Jiaxuan and Gao Zile to form a secret counter-terrorism team S Team . Faced with many crises, with the assistance of Interpol Xu Junfei, the two generations of China and Youth finally put aside their grievances and feuds and joined forces to prevent the spread of the chemical weapons virus in Hong Kong.",153613,https://image.tmdb.org/t/p/w500/pG1ThLroUznNT8HHlRENBjHbtBE.jpg,10.0,1,False,[],[],[],[],2021,Mystery Crime,"['terrorist', 'organization', 'Waganbu', 'infiltrated', 'Hong', 'Kong', 'set', 'battle', 'chemical', 'weapons', 'Hong', 'Kong', 'Fan', 'Shaofeng', 'commander', 'Flying', 'Tigers', 'ordered', 'fight', 'terrorists', 'Flying', 'Tigers', 'trapped', 'ruthless', 'killing', 'Wagambu', 'Special', 'Service', 'Superintendent', 'Zhan', 'Bowen', 'convenes', 'police', 'elites', 'Zhang', 'Weihua', 'Zhang', 'Jiaxuan', 'Gao', 'Zile', 'form', 'secret', 'counter', 'terrorism', 'team', 'S', 'Team', 'Faced', 'crises', 'assistance', 'Interpol', 'Xu', 'Junfei', 'generations', 'China', 'Youth', 'finally', 'aside', 'grievances', 'feuds', 'joined', 'forces', 'prevent', 'spread', 'chemical', 'weapons', 'virus', 'Hong', 'Kong']",Mystery Crime  terrorist organization Waganbu infiltrated Hong Kong set battle chemical weapons Hong Kong Fan Shaofeng commander Flying Tigers ordered fight terrorists Flying Tigers trapped ruthless killing Wagambu Special Service Superintendent Zhan Bowen convenes police elites Zhang Weihua Zhang Jiaxuan Gao Zile form secret counter terrorism team S Team Faced crises assistance Interpol Xu Junfei generations China Youth finally aside grievances feuds joined forces prevent spread chemical weapons virus Hong Kong 10.0    ,,
Wu Xin: The Monster Killer,"Wu Xin is an immortal who doesn't know where he was from, how long he lived, or what he is. He wanders the earth with no purpose in life and no money. During one of his destitute spells, he meets Yue Ya who gives him her last morsel of food. To repay her kindness and get more food in their stomach, he decides to capitalize his only skill set: Killing monsters. They begin a wondrous and often dangerous adventure of fighting supernatural evil, one paying customer at a time.",64532,https://image.tmdb.org/t/p/w500/eD8JeAr98KX8Xtlxp6RWK9a94qm.jpg,9.8,5,False,[],[],['蔡藝儂'],[],2015,Mystery Drama Sci-Fi & Fantasy,"['Wu', 'Xin', 'immortal', 'know', 'long', 'lived', 'wanders', 'earth', 'purpose', 'life', 'money', 'destitute', 'spells', 'meets', 'Yue', 'Ya', 'gives', 'morsel', 'food', 'repay', 'kindness', 'food', 'stomach', 'decides', 'capitalize', 'skill', 'set', 'Killing', 'monsters', 'begin', 'wondrous', 'dangerous', 'adventure', 'fighting', 'supernatural', 'evil', 'paying', 'customer', 'time']",Mystery Drama Sci-Fi & Fantasy  Wu Xin immortal know long lived wanders earth purpose life money destitute spells meets Yue Ya gives morsel food repay kindness food stomach decides capitalize skill set Killing monsters begin wondrous dangerous adventure fighting supernatural evil paying customer time 9.8  蔡藝儂  ,,
Balabol,"A happy-go-lucky detective confronts criminals and solves cases with fast-talking, hard-hitting style.",79468,https://image.tmdb.org/t/p/w500/QNWj4vbAkbmT0X65RZ1KkPzsmh.jpg,9.7,3,False,[],[],"['Vladimir Melnik', 'Andrey Shishov', 'Nikita Evgan']",[],2014,Mystery Crime Family,"['happy', 'lucky', 'detective', 'confronts', 'criminals', 'solves', 'cases', 'fast', 'talking', 'hard', 'hitting', 'style']",Mystery Crime Family  happy lucky detective confronts criminals solves cases fast talking hard hitting style 9.7  Vladimir Melnik Andrey Shishov Nikita Evgan  ,,
Hellbound Village,The descendants of an infamous group of bandits investigate a series of brutal murders in their village. Is this karma or the work of a vengeful human?,237936,https://image.tmdb.org/t/p/w500/qlagrKkLuMWGyFYoy674gIXQJPy.jpg,9.667,3,False,[],[],[],[],2023,Mystery Drama,"['descendants', 'infamous', 'group', 'bandits', 'investigate', 'series', 'brutal', 'murders', 'village', 'karma', 'work', 'vengeful', 'human']",Mystery Drama  descendants infamous group bandits investigate series brutal murders village karma work vengeful human 9.667    ,,
"Roswell Conspiracies: Aliens, Myths and Legends","A group of allied intelligence agents discover that extraterrestrial beings arrived on Earth centuries ago and have been thriving through the exploitation of humans. Believed to be the origins of many of the creatures humans know from myth, folklore and legends, including vampires and werewolves, the group discovers that these aliens have now formed a sinister cadre bent on taking over the world for themselves. In response, the agents form a top-secret multinational agency known as The Global Alliance, charged with protecting the world from the alien threat and keeping it a secret from the public at any cost.",4390,https://image.tmdb.org/t/p/w500/4PdFAwbiG7oUFzs2TEJSjahrvXk.jpg,9.2,4,False,[],[],['Kaaren Lee Brown'],[],1999,Animation Sci-Fi & Fantasy Action & Adventure Mystery,"['group', 'allied', 'intelligence', 'agents', 'discover', 'extraterrestrial', 'beings', 'arrived', 'Earth', 'centuries', 'ago', 'thriving', 'exploitation', 'humans', 'Believed', 'origins', 'creatures', 'humans', 'know', 'myth', 'folklore', 'legends', 'including', 'vampires', 'werewolves', 'group', 'discovers', 'aliens', 'formed', 'sinister', 'cadre', 'bent', 'taking', 'world', 'response', 'agents', 'form', 'secret', 'multinational', 'agency', 'known', 'Global', 'Alliance', 'charged', 'protecting', 'world', 'alien', 'threat', 'keeping', 'secret', 'public', 'cost']",Animation Sci-Fi & Fantasy Action & Adventure Mystery  group allied intelligence agents discover extraterrestrial beings arrived Earth centuries ago thriving exploitation humans Believed origins creatures humans know myth folklore legends including vampires werewolves group discovers aliens formed sinister cadre bent taking world response agents form secret multinational agency known Global Alliance charged protecting world alien threat keeping secret public cost 9.2  Kaaren Lee Brown  ,,
Amazing Detective Di Renjie,"Di Renjie is Tang dynasty magistrate and statesman, who investigates mysterious murders.",44277,https://image.tmdb.org/t/p/w500/tIdH4eYwzl1kcz26G5aB6oHjIpa.jpg,9.2,9,False,[],[],['Qian Yanqiu'],[],2004,Drama Mystery,"['Di', 'Renjie', 'Tang', 'dynasty', 'magistrate', 'statesman', 'investigates', 'mysterious', 'murders']",Drama Mystery  Di Renjie Tang dynasty magistrate statesman investigates mysterious murders 9.2  Qian Yanqiu  ,,
