name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
On Air with Ryan Seacrest,"On Air with Ryan Seacrest is an American syndicated television talk show, which ran from January 12, 2004 through September 17, 2004. It was distributed in the United States and Canada by Twentieth Television.",10493,https://image.tmdb.org/t/p/w500/c2ioh1Bgk8l2GJSOUvq0OEi03pT.jpg,9.7,41,False,[],[],['Ryan Seacrest'],[],2004,Talk News,"['Air', 'Ryan', 'Seacrest', 'American', 'syndicated', 'television', 'talk', 'ran', 'January', 'September', 'distributed', 'United', 'States', 'Canada', 'Twentieth', 'Television']",Talk News  Air Ryan Seacrest American syndicated television talk ran January September distributed United States Canada Twentieth Television 9.7  Ryan Seacrest  ,,
Tæt på sandheden med Jonatan Spang,Last chance to laugh at the past week before the next one hits you. Comedy show where the week's news and current trends are given the loving but firm treatment by Jonatan Spang.,99706,https://image.tmdb.org/t/p/w500/lsBlOyCuvCmIWxmIp2lnp3VhJgI.jpg,9.5,2,False,[],[],['Jonatan Spang'],[],2017,News Comedy,"['chance', 'laugh', 'past', 'week', 'hits', 'Comedy', 'week', 'news', 'current', 'trends', 'given', 'loving', 'firm', 'treatment', 'Jonatan', 'Spang']",News Comedy  chance laugh past week hits Comedy week news current trends given loving firm treatment Jonatan Spang 9.5  Jonatan Spang  ,,
On Cinema,Tim Heidecker reviews the latest movies in theaters with a special guest.,76345,https://image.tmdb.org/t/p/w500/li5qk9Hdm2Yrw1ApXpT5UNAUxAY.jpg,9.071,15,False,[],[],"['Tim Heidecker', 'Gregg Turkington']",[],2012,Comedy Talk Reality News,"['Tim', 'Heidecker', 'reviews', 'latest', 'movies', 'theaters', 'special', 'guest']",Comedy Talk Reality News  Tim Heidecker reviews latest movies theaters special guest 9.071  Tim Heidecker Gregg Turkington  ,,
Washington Week with The Atlantic,"Journalists participate in a round-table discussion of news events in this award-winning public affairs series. It first aired in 1967, making it the longest-running prime-time news and public affairs program on television.",10478,https://image.tmdb.org/t/p/w500/9Ntlq9HK2zpCAhcuZQJ59mblFvt.jpg,9.0,1,False,[],[],[],[],1967,News,"['Journalists', 'participate', 'round', 'table', 'discussion', 'news', 'events', 'award', 'winning', 'public', 'affairs', 'series', 'aired', 'making', 'longest', 'running', 'prime', 'time', 'news', 'public', 'affairs', 'program', 'television']",News  Journalists participate round table discussion news events award winning public affairs series aired making longest running prime time news public affairs program television 9.0    ,,
Face the Nation with Margaret Brennan,"Face the Nation with Bob Schieffer is an American Sunday morning political interview show, which premiered on the CBS television network. It is one of the longest-running news programs in the history of television, having debuted in 1954.",2667,https://image.tmdb.org/t/p/w500/lTOz6w6SlHIHLKUnUmxjLSuhoaC.jpg,8.0,1,False,[],[],['Frank Stanton'],[],1954,News,"['Face', 'Nation', 'Bob', 'Schieffer', 'American', 'Sunday', 'morning', 'political', 'interview', 'premiered', 'CBS', 'television', 'network', 'longest', 'running', 'news', 'programs', 'history', 'television', 'having', 'debuted']",News  Face Nation Bob Schieffer American Sunday morning political interview premiered CBS television network longest running news programs history television having debuted 8.0  Frank Stanton  ,,
America's Most Wanted,"America's Most Wanted is an American television program produced by 20th Television, and was the longest-running program of any kind in the history of the Fox Television Network until it was announced on May 16, 2011 that the series was canceled after twenty-three years, with the final episode airing on June 18, 2011. The following September, America's Most Wanted's host, John Walsh, announced that the program would resume on the cable network Lifetime later that year.

Presented by Walsh, the show's purpose is to profile and assist law enforcement in the apprehension of fugitives wanted for numerous crimes, including murder, rape, kidnapping, child molestation, white-collar crime, organized crime, armed robbery, gang violence, and terrorism, and also many of whom are currently on the FBI Ten Most Wanted Fugitives list. On May 2, 2008, the program's website announced its 1,000th capture; as of March 30, 2013, 1,202 people have been captured because of AMW. Many of the series' cases have some connection outside the United States or have not taken place in the United States at all. The series' first international capture was in Nova Scotia in 1989.

The show's nature does not allow repeats, except for updates on convicted criminals, and is preempted a maximum of eight times during the year; however, if a fugitive featured on the show is not captured, their profile may be aired again. However, since moving to Lifetime, the show aired several repeats with updates if the fugitive/missing person was captured/recovered.",1802,https://image.tmdb.org/t/p/w500/7ICJgQPSkf7ppVBD15teVuEL9iD.jpg,8.0,16,False,[],[],[],[],1988,News,"['America', 'Wanted', 'American', 'television', 'program', 'produced', 'Television', 'longest', 'running', 'program', 'kind', 'history', 'Fox', 'Television', 'Network', 'announced', 'series', 'canceled', 'years', 'final', 'episode', 'airing', 'June', 'following', 'September', 'America', 'Wanted', 'host', 'John', 'Walsh', 'announced', 'program', 'resume', 'cable', 'network', 'Lifetime', 'later', 'year', 'Presented', 'Walsh', 'purpose', 'profile', 'assist', 'law', 'enforcement', 'apprehension', 'fugitives', 'wanted', 'numerous', 'crimes', 'including', 'murder', 'rape', 'kidnapping', 'child', 'molestation', 'white', 'collar', 'crime', 'organized', 'crime', 'armed', 'robbery', 'gang', 'violence', 'terrorism', 'currently', 'FBI', 'Wanted', 'Fugitives', 'list', 'program', 'website', 'announced', 'capture', 'March', 'people', 'captured', 'AMW', 'series', 'cases', 'connection', 'outside', 'United', 'States', 'taken', 'place', 'United', 'States', 'series', 'international', 'capture', 'Nova', 'Scotia', 'nature', 'allow', 'repeats', 'updates', 'convicted', 'criminals', 'preempted', 'maximum', 'times', 'year', 'fugitive', 'featured', 'captured', 'profile', 'aired', 'moving', 'Lifetime', 'aired', 'repeats', 'updates', 'fugitive', 'missing', 'person', 'captured', 'recovered']",News  America Wanted American television program produced Television longest running program kind history Fox Television Network announced series canceled years final episode airing June following September America Wanted host John Walsh announced program resume cable network Lifetime later year Presented Walsh purpose profile assist law enforcement apprehension fugitives wanted numerous crimes including murder rape kidnapping child molestation white collar crime organized crime armed robbery gang violence terrorism currently FBI Wanted Fugitives list program website announced capture March people captured AMW series cases connection outside United States taken place United States series international capture Nova Scotia nature allow repeats updates convicted criminals preempted maximum times year fugitive featured captured profile aired moving Lifetime aired repeats updates fugitive missing person captured recovered 8.0    ,,
Last Week Tonight with John Oliver,"A half-hour satirical look at the week in news, politics and current events.",60694,https://image.tmdb.org/t/p/w500/fTsRyRw91wosrLgWuWpU5Omyw5Y.jpg,7.9,596,False,[],[],['John Oliver'],[],2014,Talk Comedy News,"['half', 'hour', 'satirical', 'look', 'week', 'news', 'politics', 'current', 'events']",Talk Comedy News  half hour satirical look week news politics current events 7.9  John Oliver  ,,
48 Hours,"This newsmagazine series investigates intriguing crime and justice cases that touch on all aspects of the human experience. Over its long run, the show has helped exonerate wrongly convicted people, driven the reopening — and resolution — of cold cases, and changed numerous lives. CBS News correspondents offer an in-depth look into each story, with the emphasis on solving the mystery at its heart.",3719,https://image.tmdb.org/t/p/w500/2skcuLdDY0WpFBLDK8wSo6rpx7C.jpg,7.6,40,False,[],[],['Judy Tygard'],[],1988,Mystery News Crime,"['newsmagazine', 'series', 'investigates', 'intriguing', 'crime', 'justice', 'cases', 'touch', 'aspects', 'human', 'experience', 'long', 'run', 'helped', 'exonerate', 'wrongly', 'convicted', 'people', 'driven', 'reopening', 'resolution', 'cold', 'cases', 'changed', 'numerous', 'lives', 'CBS', 'News', 'correspondents', 'offer', 'depth', 'look', 'story', 'emphasis', 'solving', 'mystery', 'heart']",Mystery News Crime  newsmagazine series investigates intriguing crime justice cases touch aspects human experience long run helped exonerate wrongly convicted people driven reopening resolution cold cases changed numerous lives CBS News correspondents offer depth look story emphasis solving mystery heart 7.6  Judy Tygard  ,,
Frontline,"Since it began in 1983, Frontline has been airing public-affairs documentaries that explore a wide scope of the complex human experience. Frontline's goal is to extend the impact of the documentary beyond its initial broadcast by serving as a catalyst for change.",4384,https://image.tmdb.org/t/p/w500/rEsUftFdD7PjkWmCrzqWoUYHbXv.jpg,7.574,34,False,[],[],['David Fanning'],[],1983,Documentary News Talk,"['began', 'Frontline', 'airing', 'public', 'affairs', 'documentaries', 'explore', 'wide', 'scope', 'complex', 'human', 'experience', 'Frontline', 'goal', 'extend', 'impact', 'documentary', 'initial', 'broadcast', 'serving', 'catalyst', 'change']",Documentary News Talk  began Frontline airing public affairs documentaries explore wide scope complex human experience Frontline goal extend impact documentary initial broadcast serving catalyst change 7.574  David Fanning  ,,
Match of the Day,"BBC's football highlights and analysis.

""The longest-running football television programme in the world"" as recognised by Guinness World Records in 2015.",224,https://image.tmdb.org/t/p/w500/aA25JrHXj8ZPTJYj2iSIueyb34C.jpg,7.3,29,False,[],[],[],[],1964,Talk News,"['BBC', 'football', 'highlights', 'analysis', 'longest', 'running', 'football', 'television', 'programme', 'world', 'recognised', 'Guinness', 'World', 'Records']",Talk News  BBC football highlights analysis longest running football television programme world recognised Guinness World Records 7.3    ,,
GMTV,"GMTV is the name of the national Channel 3 breakfast television contractor/licensee, broadcasting in the United Kingdom from 1 January 1993 to 3 September 2010. It became a wholly owned subsidiary of ITV plc in November 2009. Shortly after, ITV plc announced the programme would end. The final edition of GMTV was broadcast on 3 September 2010.",27511,https://image.tmdb.org/t/p/w500/peQ3blnogd6YXfjqPJOwMx1yOVK.jpg,7.286,7,False,[],[],[],[],1993,News,"['GMTV', 'national', 'Channel', 'breakfast', 'television', 'contractor', 'licensee', 'broadcasting', 'United', 'Kingdom', 'January', 'September', 'wholly', 'owned', 'subsidiary', 'ITV', 'plc', 'November', 'Shortly', 'ITV', 'plc', 'announced', 'programme', 'end', 'final', 'edition', 'GMTV', 'broadcast', 'September']",News  GMTV national Channel breakfast television contractor licensee broadcasting United Kingdom January September wholly owned subsidiary ITV plc November Shortly ITV plc announced programme end final edition GMTV broadcast September 7.286    ,,
Eretz Nehederet,"An Israeli satire show featuring satirical references to current affairs of the past week through parodies of the people involved, as well as the thoughts of recurring characters. One of the most watched and influential shows on Israeli TV.",9179,https://image.tmdb.org/t/p/w500/lzc1arU7a6qFDpNisLuoJK4R3N6.jpg,7.2,6,False,[],[],"['Muli Segev', 'David Lifshitz', 'Asaf Shalmon']",[],2003,News Comedy,"['Israeli', 'satire', 'featuring', 'satirical', 'references', 'current', 'affairs', 'past', 'week', 'parodies', 'people', 'involved', 'thoughts', 'recurring', 'characters', 'watched', 'influential', 'shows', 'Israeli', 'TV']",News Comedy  Israeli satire featuring satirical references current affairs past week parodies people involved thoughts recurring characters watched influential shows Israeli TV 7.2  Muli Segev David Lifshitz Asaf Shalmon  ,,
Have I Got News for You,"Hilarious, totally-irreverent, near-slanderous political quiz show, based mainly on news stories from the last week or so, that leaves no party, personality or action unscathed in pursuit of laughs.",797,https://image.tmdb.org/t/p/w500/6lCoUAqA5CEwONQ4QewPxZFwpyJ.jpg,7.2,50,False,[],[],[],[],1990,Comedy News,"['Hilarious', 'totally', 'irreverent', 'near', 'slanderous', 'political', 'quiz', 'based', 'mainly', 'news', 'stories', 'week', 'leaves', 'party', 'personality', 'action', 'unscathed', 'pursuit', 'laughs']",Comedy News  Hilarious totally irreverent near slanderous political quiz based mainly news stories week leaves party personality action unscathed pursuit laughs 7.2    ,,
Infoman,Jean-René Dufort and sidekicks Chantal Lamarre and MC Gilles serve up delirious send-ups of the week's news events.,38003,https://image.tmdb.org/t/p/w500/lmqUOGUlYPzVSM88SIMUcVVgWSs.jpg,7.2,5,False,[],[],[],[],2000,News Reality Comedy,"['Jean', 'René', 'Dufort', 'sidekicks', 'Chantal', 'Lamarre', 'MC', 'Gilles', 'serve', 'delirious', 'send', 'ups', 'week', 'news', 'events']",News Reality Comedy  Jean René Dufort sidekicks Chantal Lamarre MC Gilles serve delirious send ups week news events 7.2    ,,
Conan,A late night television talk show hosted by  Conan O'Brien.,32415,https://image.tmdb.org/t/p/w500/oQxrvUhP3ycwnlxIrIMQ9Z3kleq.jpg,7.1,202,False,[],[],"[""Conan O'Brien""]",[],2010,Talk Comedy News,"['late', 'night', 'television', 'talk', 'hosted', 'Conan']",Talk Comedy News  late night television talk hosted Conan 7.1  Conan O'Brien  ,,
