name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
Tensou Sentai Goseiger,"The alien invasion force called WARSTAR destroy the Heaven’s Tower, the bridge between the Earth and the Gosei World, home of the Gosei Angels. Five apprentice Gosei Angels who happened to be on the Earth transform into GOSEIGER and fight to defend the Earth.",31606,https://image.tmdb.org/t/p/w500/3G7a4bmf1nog4GsPQMRzavlxe2A.jpg,10.0,5,False,[],[],['Saburo Yatsude'],[],2010,Action & Adventure Sci-Fi & Fantasy Kids,"['alien', 'invasion', 'force', 'called', 'WARSTAR', 'destroy', 'Heaven', 'Tower', 'bridge', 'Earth', 'Gosei', 'World', 'home', 'Gosei', 'Angels', 'apprentice', 'Gosei', 'Angels', 'happened', 'Earth', 'transform', 'GOSEIGER', 'fight', 'defend', 'Earth']",Action & Adventure Sci-Fi & Fantasy Kids  alien invasion force called WARSTAR destroy Heaven Tower bridge Earth Gosei World home Gosei Angels apprentice Gosei Angels happened Earth transform GOSEIGER fight defend Earth 10.0  Saburo Yatsude  ,,
Ultra B,"One night, Michio chases a UFO to see where it lands. He is taken inside it and encounters a mysterious baby, Ultra B. Soon reveals that he has superpowers when he moves in with Michio's family.",207937,https://image.tmdb.org/t/p/w500/d99Tmt3YuJHWv95akuNQfkBhPKG.jpg,10.0,1,False,[],[],[],[],1987,Kids Sci-Fi & Fantasy Animation,"['night', 'Michio', 'chases', 'UFO', 'lands', 'taken', 'inside', 'encounters', 'mysterious', 'baby', 'Ultra', 'Soon', 'reveals', 'superpowers', 'moves', 'Michio', 'family']",Kids Sci-Fi & Fantasy Animation  night Michio chases UFO lands taken inside encounters mysterious baby Ultra Soon reveals superpowers moves Michio family 10.0    ,,
The Demon Hunter,"Meng Chuan witnessed his mother killed before his eyes, so he trained very hard hoping to one day avenge her death. But his peaceful days were broken as his wedding engagement being called off, an invasion by foreign forces, the sanctuary fallen into enemy hands… In order to protect the people of Ning City, he picked up his sword and vowed to be the strongest. This is a heavy responsibility and a long journey…",229192,https://image.tmdb.org/t/p/w500/vDw9zWYa77x6Dxyu9Rb6nyQ2sxW.jpg,10.0,6,False,[],[],['Wo Chi Xihongshi'],[],2023,Animation Action & Adventure Sci-Fi & Fantasy,"['Meng', 'Chuan', 'witnessed', 'mother', 'killed', 'eyes', 'trained', 'hard', 'hoping', 'day', 'avenge', 'death', 'peaceful', 'days', 'broken', 'wedding', 'engagement', 'called', 'invasion', 'foreign', 'forces', 'sanctuary', 'fallen', 'enemy', 'hands', 'order', 'protect', 'people', 'Ning', 'City', 'picked', 'sword', 'vowed', 'strongest', 'heavy', 'responsibility', 'long', 'journey']",Animation Action & Adventure Sci-Fi & Fantasy  Meng Chuan witnessed mother killed eyes trained hard hoping day avenge death peaceful days broken wedding engagement called invasion foreign forces sanctuary fallen enemy hands order protect people Ning City picked sword vowed strongest heavy responsibility long journey 10.0  Wo Chi Xihongshi  ,,
Potato Star 2013QR3,"A mysterious asteroid crash-lands on Earth in 2013 and causes all sorts of weird things to start happening, specifically to the Noh family and their neighbors.",64770,https://image.tmdb.org/t/p/w500/8HLs1vyor0iHcKKHosrtxWfG8LL.jpg,10.0,1,False,[],[],[],[],2013,Comedy Drama Family Unknown Sci-Fi & Fantasy,"['mysterious', 'asteroid', 'crash', 'lands', 'Earth', 'causes', 'sorts', 'weird', 'things', 'start', 'happening', 'specifically', 'Noh', 'family', 'neighbors']",Comedy Drama Family Unknown Sci-Fi & Fantasy  mysterious asteroid crash lands Earth causes sorts weird things start happening specifically Noh family neighbors 10.0    ,,
Megaton Musashi,"In an ordinary town, there are people who live a peaceful and fulfilling life. But they don't know that it is a false peace. The untold truth... The earth has already been destroyed... 99.9% of the human race has been wiped out by a mysterious alien force from outer space. The enemy is named ""Dracters."" Eventually, a large hole was drilled in the earth and terraformed into a suitable environment for the aliens to live. Humans have no choice but to hide in shelters to escape their eyes. Waiting for the day of resurrection, which they do not know when it will come... The inhabitants of the shelter Ixia have had their memories of the day of destruction erased, and live a normal life without knowing anything about it. However, some of them, the ""chosen ones,"" have become pilots, driving giant robots called ""Rogue"" and fighting against aliens. Today, another new pilot is selected...",129553,https://image.tmdb.org/t/p/w500/8cz1PoLOi72iarRQhTdLRCyyGxm.jpg,10.0,1,False,[],[],[],[],2021,Animation Action & Adventure Sci-Fi & Fantasy,"['ordinary', 'town', 'people', 'live', 'peaceful', 'fulfilling', 'life', 'know', 'false', 'peace', 'untold', 'truth', 'earth', 'destroyed', 'human', 'race', 'wiped', 'mysterious', 'alien', 'force', 'outer', 'space', 'enemy', 'named', 'Dracters', 'Eventually', 'large', 'hole', 'drilled', 'earth', 'terraformed', 'suitable', 'environment', 'aliens', 'live', 'Humans', 'choice', 'hide', 'shelters', 'escape', 'eyes', 'Waiting', 'day', 'resurrection', 'know', 'come', 'inhabitants', 'shelter', 'Ixia', 'memories', 'day', 'destruction', 'erased', 'live', 'normal', 'life', 'knowing', 'chosen', 'ones', 'pilots', 'driving', 'giant', 'robots', 'called', 'Rogue', 'fighting', 'aliens', 'Today', 'new', 'pilot', 'selected']",Animation Action & Adventure Sci-Fi & Fantasy  ordinary town people live peaceful fulfilling life know false peace untold truth earth destroyed human race wiped mysterious alien force outer space enemy named Dracters Eventually large hole drilled earth terraformed suitable environment aliens live Humans choice hide shelters escape eyes Waiting day resurrection know come inhabitants shelter Ixia memories day destruction erased live normal life knowing chosen ones pilots driving giant robots called Rogue fighting aliens Today new pilot selected 10.0    ,,
Wu Xin: The Monster Killer,"Wu Xin is an immortal who doesn't know where he was from, how long he lived, or what he is. He wanders the earth with no purpose in life and no money. During one of his destitute spells, he meets Yue Ya who gives him her last morsel of food. To repay her kindness and get more food in their stomach, he decides to capitalize his only skill set: Killing monsters. They begin a wondrous and often dangerous adventure of fighting supernatural evil, one paying customer at a time.",64532,https://image.tmdb.org/t/p/w500/eD8JeAr98KX8Xtlxp6RWK9a94qm.jpg,9.8,5,False,[],[],['蔡藝儂'],[],2015,Mystery Drama Sci-Fi & Fantasy,"['Wu', 'Xin', 'immortal', 'know', 'long', 'lived', 'wanders', 'earth', 'purpose', 'life', 'money', 'destitute', 'spells', 'meets', 'Yue', 'Ya', 'gives', 'morsel', 'food', 'repay', 'kindness', 'food', 'stomach', 'decides', 'capitalize', 'skill', 'set', 'Killing', 'monsters', 'begin', 'wondrous', 'dangerous', 'adventure', 'fighting', 'supernatural', 'evil', 'paying', 'customer', 'time']",Mystery Drama Sci-Fi & Fantasy  Wu Xin immortal know long lived wanders earth purpose life money destitute spells meets Yue Ya gives morsel food repay kindness food stomach decides capitalize skill set Killing monsters begin wondrous dangerous adventure fighting supernatural evil paying customer time 9.8  蔡藝儂  ,,
Ressha Sentai ToQger,"The evil empire, Shadow Line appeared to cover the world in darkness. Five childhood friends who have a great Imagination were selected as ToQger to fight the Shadow Line.",68696,https://image.tmdb.org/t/p/w500/yIWOrgqSiFtjHIpiKlkNMwfI1O.jpg,9.7,7,False,[],[],['Saburo Yatsude'],[],2014,Sci-Fi & Fantasy Action & Adventure Comedy,"['evil', 'empire', 'Shadow', 'Line', 'appeared', 'cover', 'world', 'darkness', 'childhood', 'friends', 'great', 'Imagination', 'selected', 'ToQger', 'fight', 'Shadow', 'Line']",Sci-Fi & Fantasy Action & Adventure Comedy  evil empire Shadow Line appeared cover world darkness childhood friends great Imagination selected ToQger fight Shadow Line 9.7  Saburo Yatsude  ,,
Gekisou Sentai Carranger,"After the Bowzock, a ruthless — not to mention reckless — gang of interstellar biker thugs, destroy his home planet of Hazard, Dappu visits Earth where he discovers five humans with the ability to harness ""Carmagic."" With this power, these five heroes can defeat the Bowzock before the band of witless bikers is able to add Earth to its list of wrecked worlds.",3069,https://image.tmdb.org/t/p/w500/6ptpR09s6N1dV6gPcn36HqOs4D2.jpg,9.6,5,False,[],[],"['Yoshio Urasawa', 'Saburo Yatsude']",[],1996,Sci-Fi & Fantasy Action & Adventure Comedy Kids,"['Bowzock', 'ruthless', 'mention', 'reckless', 'gang', 'interstellar', 'biker', 'thugs', 'destroy', 'home', 'planet', 'Hazard', 'Dappu', 'visits', 'Earth', 'discovers', 'humans', 'ability', 'harness', 'Carmagic', 'power', 'heroes', 'defeat', 'Bowzock', 'band', 'witless', 'bikers', 'able', 'add', 'Earth', 'list', 'wrecked', 'worlds']",Sci-Fi & Fantasy Action & Adventure Comedy Kids  Bowzock ruthless mention reckless gang interstellar biker thugs destroy home planet Hazard Dappu visits Earth discovers humans ability harness Carmagic power heroes defeat Bowzock band witless bikers able add Earth list wrecked worlds 9.6  Yoshio Urasawa Saburo Yatsude  ,,
Great Journey of Teenagers,"Wangyou, Master of Hanshui Temple died mysteriously and when the news about a golden coffin spreads throughout the world, it triggered disputes between the World of Martial arts. Join a group of youths, Lei Wujie, Xiao Se, Tang Lian, Sikong Qianluo, Heavenly Maiden Rui in their adventure as the mystery of the golden coffin unravels.",85219,https://image.tmdb.org/t/p/w500/2cvru8EriUsCrEV6R8DnP5HILS.jpg,9.5,6,False,[],[],['Munan Zhou'],[],2018,Animation Action & Adventure Sci-Fi & Fantasy,"['Wangyou', 'Master', 'Hanshui', 'Temple', 'died', 'mysteriously', 'news', 'golden', 'coffin', 'spreads', 'world', 'triggered', 'disputes', 'World', 'Martial', 'arts', 'Join', 'group', 'youths', 'Lei', 'Wujie', 'Xiao', 'Se', 'Tang', 'Lian', 'Sikong', 'Qianluo', 'Heavenly', 'Maiden', 'Rui', 'adventure', 'mystery', 'golden', 'coffin', 'unravels']",Animation Action & Adventure Sci-Fi & Fantasy  Wangyou Master Hanshui Temple died mysteriously news golden coffin spreads world triggered disputes World Martial arts Join group youths Lei Wujie Xiao Se Tang Lian Sikong Qianluo Heavenly Maiden Rui adventure mystery golden coffin unravels 9.5  Munan Zhou  ,,
Chōjin Sentai Jetman,"The Sky Force sends five highly trained operatives to participate in an experiment which will expose them to Birdonic Waves, resulting in superhuman abilities. But when the Earth Ship is attacked by Vyram, the majority of the Birdonic Waves are sent to Earth and find four unsuspecting civilians. Now, it's up to these four accidental super humans – Raita, Kaori, Ako, and Gai – alongside Ryu, the only original operative to receive Birdonic Waves, to defend their dimension against Vyram.",90024,https://image.tmdb.org/t/p/w500/f0n7w2d72OPOTeVgQ3UUkKIA9iP.jpg,9.5,6,False,[],[],['Saburo Yatsude'],[],1991,Sci-Fi & Fantasy Action & Adventure Kids,"['Sky', 'Force', 'sends', 'highly', 'trained', 'operatives', 'participate', 'experiment', 'expose', 'Birdonic', 'Waves', 'resulting', 'superhuman', 'abilities', 'Earth', 'Ship', 'attacked', 'Vyram', 'majority', 'Birdonic', 'Waves', 'sent', 'Earth', 'find', 'unsuspecting', 'civilians', 'accidental', 'super', 'humans', 'Raita', 'Kaori', 'Ako', 'Gai', 'alongside', 'Ryu', 'original', 'operative', 'receive', 'Birdonic', 'Waves', 'defend', 'dimension', 'Vyram']",Sci-Fi & Fantasy Action & Adventure Kids  Sky Force sends highly trained operatives participate experiment expose Birdonic Waves resulting superhuman abilities Earth Ship attacked Vyram majority Birdonic Waves sent Earth find unsuspecting civilians accidental super humans Raita Kaori Ako Gai alongside Ryu original operative receive Birdonic Waves defend dimension Vyram 9.5  Saburo Yatsude  ,,
