name,tvId,userId,rating
Rick and Morty,60625,106,9.0
Rick and Morty,60625,1576,10.0
Grey's Anatomy,1416,3,1.0
Grey's Anatomy,1416,1576,1.0
The Simpsons,456,1561,10.0
The Simpsons,456,1576,5.0
Invincible,95557,649,10.0
Loki,84958,11,10.0
Loki,84958,923,8.0
Loki,84958,727,9.0
Loki,84958,709,6.0
Loki,84958,728,10.0
Doctor Who,57243,24,10.0
Doctor Who,57243,1002,7.0
Supernatural,1622,23,7.0
Doctor Who,57243,24,10.0
Doctor Who,57243,1002,7.0
Wednesday,119051,28,1.0
Wednesday,119051,29,9.0
Wednesday,119051,30,4.0
Wednesday,119051,1259,5.0
Midsomer Murders,764,1594,7.0
Friends,1668,1542,8.0
Castle,1419,1243,8.0
Yellowstone,73586,37,3.0
House,1408,453,7.0
House,1408,1243,8.0
The Good Doctor,71712,40,10.0
The Good Doctor,71712,42,10.0
The Good Doctor,71712,1436,4.0
The Good Doctor,71712,122,3.0
Star Trek,253,45,7.0
Star Trek,253,1542,8.0
Star Trek,253,1576,10.0
Lucifer,63174,1312,2.0
Lucifer,63174,462,10.0
The Flash,60735,55,6.0
The Flash,60735,696,6.0
The Rookie,79744,57,10.0
The Blacklist,46952,613,9.0
The Blacklist,46952,59,10.0
The Sopranos,1398,1576,10.0
Columbo,873,1576,10.0
NCIS,4614,1352,1.0
The Mentalist,5920,1243,9.0
Vikings,44217,270,10.0
Peaky Blinders,60574,1464,10.0
Peaky Blinders,60574,67,7.0
Peaky Blinders,60574,68,1.0
The Vampire Diaries,18165,1436,4.0
The Vampire Diaries,18165,1277,5.0
SPY x FAMILY,120089,71,1.0
SPY x FAMILY,120089,1205,10.0
SPY x FAMILY,120089,904,10.0
SPY x FAMILY,120089,74,9.0
The Walking Dead,1402,75,6.0
The Walking Dead,1402,76,10.0
The Walking Dead,1402,1513,1.0
The Walking Dead,1402,78,10.0
The Walking Dead,1402,80,10.0
The Walking Dead,1402,1436,4.0
The Walking Dead,1402,1567,10.0
The Walking Dead,1402,1569,10.0
American Horror Story,1413,1541,8.0
American Horror Story,1413,1541,8.0
Fear the Walking Dead,62286,1436,6.0
Shameless,34307,89,10.0
Squid Game,93405,172,7.0
Malcolm in the Middle,2004,1561,9.0
Breaking Bad,1396,93,10.0
Breaking Bad,1396,1436,10.0
Breaking Bad,1396,95,9.0
Breaking Bad,1396,1352,3.0
Chucky,90462,97,8.0
Futurama,615,106,8.0
Futurama,615,108,10.0
Futurama,615,1595,4.0
Gen V,205715,1595,1.0
Gen V,205715,112,10.0
Gen V,205715,1574,6.0
Futurama,615,106,8.0
Futurama,615,108,10.0
Futurama,615,1595,4.0
Gen V,205715,1595,1.0
Gen V,205715,112,10.0
Gen V,205715,1574,6.0
Stranger Things,66732,1436,9.0
Stranger Things,66732,923,8.0
Stranger Things,66732,1595,8.0
Stranger Things,66732,1576,10.0
The Boys,76479,1286,6.0
The Boys,76479,120,8.0
The Boys,76479,121,9.0
The Boys,76479,122,6.0
The Boys,76479,1576,8.0
Young Sheldon,71728,1352,7.0
Two and a Half Men,2691,453,6.0
Richard Osman's House of Games,103960,1472,5.0
Richard Osman's House of Games,103960,1472,5.0
Richard Osman's House of Games,103960,1472,5.0
Star Trek: Voyager,1855,129,8.0
Star Trek: Voyager,1855,1576,7.0
Star Trek: Voyager,1855,1243,10.0
Seinfeld,1400,132,10.0
South Park,2190,1576,10.0
Smallville,4604,850,6.0
Arrow,1412,1542,10.0
Arrow,1412,1456,7.0
Arrow,1412,1576,1.0
Buffy the Vampire Slayer,95,312,9.0
Buffy the Vampire Slayer,95,1576,10.0
Sons of Anarchy,1409,1436,10.0
Sons of Anarchy,1409,1569,1.0
Monk,1695,145,8.0
The Walking Dead: Daryl Dixon,211684,1595,4.0
9-1-1,75219,802,7.0
9-1-1,75219,1576,1.0
9-1-1,75219,190,10.0
9-1-1,75219,1436,8.0
Dexter,1405,1540,10.0
Dexter,1405,153,8.0
Dexter,1405,424,10.0
Euphoria,85552,740,8.0
Euphoria,85552,490,10.0
Cheers,141,1542,8.0
Stargate SG-1,4629,1576,10.0
Psych,1447,160,10.0
Psych,1447,1576,10.0
M*A*S*H,918,1542,9.0
M*A*S*H,918,1352,4.0
The Railway Men - The Untold Story of Bhopal 1984,213895,1436,10.0
The Witcher,71912,1013,8.0
The Witcher,71912,840,7.0
The Witcher,71912,167,8.0
The Witcher,71912,1436,1.0
The Witcher,71912,1542,9.0
The Witcher,71912,172,7.0
The Witcher,71912,172,7.0
The Witcher,71912,173,6.0
The Witcher,71912,1077,6.0
The Witcher,71912,730,2.0
The Witcher,71912,1436,1.0
The Witcher,71912,907,4.0
Bleach,30984,1286,7.0
House of the Dragon,94997,1077,5.0
24,1973,1243,8.0
Marvel's Agents of S.H.I.E.L.D.,1403,1472,7.0
Marvel's Agents of S.H.I.E.L.D.,1403,1126,9.0
Lost,4607,184,10.0
Spartacus,46296,1542,8.0
Star Trek: Deep Space Nine,580,1576,7.0
From,124364,1331,7.0
From,124364,188,10.0
From,124364,190,10.0
Fringe,1705,1243,7.0
Frasier,3452,1542,8.0
Criminal Code,235924,1595,8.0
Hawaii Five-0,32798,1542,9.0
Elite,76669,1436,1.0
Gilmore Girls,4586,1594,8.0
Gilmore Girls,4586,1243,8.0
"Magnum, P.I.",734,1542,9.0
"Magnum, P.I.",734,1576,10.0
Sex Education,81356,718,8.0
Sex Education,81356,1576,1.0
Outlander,56570,1456,5.0
Outlander,56570,1436,10.0
Outlander,56570,1456,5.0
Outlander,56570,1436,10.0
Bosch,60585,1594,9.0
Orange Is the New Black,1424,1259,10.0
Cobra Kai,77169,278,9.0
Cobra Kai,77169,213,4.0
Cobra Kai,77169,1542,9.0
Cobra Kai,77169,1595,5.0
Cobra Kai,77169,1576,10.0
Grimm,39351,1576,10.0
The 100,48866,219,8.0
The 100,48866,907,4.0
Riverdale,69050,1246,10.0
Riverdale,69050,222,5.0
Riverdale,69050,778,4.0
Six Feet Under,1274,1456,4.0
The Continental: From the World of John Wick,72710,1595,4.0
The Continental: From the World of John Wick,72710,227,8.0
Scorpion,60797,1542,8.0
Murdoch Mysteries,12786,1595,6.0
Murdoch Mysteries,12786,230,6.0
Supergirl,62688,231,6.0
Battlestar Galactica,1972,1513,9.0
Battlestar Galactica,1972,361,10.0
Battlestar Galactica,1972,1576,10.0
Battlestar Galactica,1972,1243,6.0
Batman: The Animated Series,2098,1576,10.0
The Mandalorian,82856,1542,10.0
